t,vLoca,vLocb,vLocc
0.0107779996469617,559365.8125,-676704.5,109118.4453125
0.0107789998874068,559529.875,-676904.1875,109116.71875
0.010780000127852,559690.125,-677105.5,109117.84375
0.0107810003682971,559846.9375,-677307.625,109121.1328125
0.0107819996774197,560000.75,-677509.875,109125.8046875
0.0107829999178648,560152.125,-677711.375,109131
0.0107840001583099,560301.5,-677911.25,109135.796875
0.0107850003987551,560449.375,-678108.5,109139.2109375
0.0107859997078776,560596.3125,-678302.1875,109140.25
0.0107869999483228,560742.625,-678491.25,109137.9140625
0.0107880001887679,560888.75,-678674.5625,109131.203125
0.010789000429213,561035,-678851.1875,109119.171875
0.0107899997383356,561181.5625,-679020.0625,109100.9296875
0.0107909999787807,561328.625,-679180.125,109075.6484375
0.0107920002192259,561476.25,-679330.375,109042.578125
0.010793000459671,561624.3125,-679469.8125,109001.046875
0.0107939997687936,561772.6875,-679597.5625,108950.4921875
0.0107950000092387,561921.25,-679712.6875,108890.40625
0.0107960002496839,562069.5625,-679814.375,108820.390625
0.0107969995588064,562217.375,-679901.9375,108740.1171875
0.0107979997992516,562364.25,-679974.625,108649.328125
0.0107990000396967,562509.75,-680031.9375,108547.8359375
0.0108000002801418,562653.5625,-680073.3125,108435.5078125
0.0108009995892644,562795.125,-680098.3125,108312.21875
0.0108019998297095,562934.1875,-680106.6875,108177.90625
0.0108030000701547,563070.4375,-680098.1875,108032.484375
0.0108040003105998,563203.5,-680072.6875,107875.875
0.0108049996197224,563333.375,-680030.1875,107707.9765625
0.0108059998601675,563459.9375,-679970.75,107528.6328125
0.0108070001006126,563583.1875,-679894.4375,107337.6796875
0.0108080003410578,563703.3125,-679801.5625,107134.890625
0.0108089996501803,563820.625,-679692.4375,106920
0.0108099998906255,563935.4375,-679567.4375,106692.7265625
0.0108110001310706,564048.375,-679427.125,106452.7265625
0.0108120003715158,564159.75,-679271.875,106199.59375
0.0108129996806383,564270.1875,-679101.875,105932.7890625
0.0108139999210835,564379.9375,-678917.375,105651.703125
0.0108150001615286,564489.625,-678718.4375,105355.703125
0.0108160004019737,564599.5625,-678505.375,105044.2734375
0.0108169997110963,564710.625,-678278.9375,104717.046875
0.0108179999515414,564823.5,-678040.0625,104373.8828125
0.0108190001919866,564939,-677789.9375,104014.7578125
0.0108200004324317,565057.8125,-677529.5625,103639.7421875
0.0108209997415543,565180.5,-677259.8125,103248.8671875
0.0108219999819994,565306.9375,-676980.9375,102842.109375
0.0108230002224445,565437.125,-676692.875,102419.375
0.0108240004628897,565570.375,-676395.375,101980.5390625
0.0108249997720122,565706.25,-676087.875,101525.5859375
0.0108260000124574,565844.1875,-675770.3125,101054.671875
0.0108270002529025,565983.75,-675442.9375,100568.265625
0.0108279995620251,566124.6875,-675106.5,100067.125
0.0108289998024702,566266.9375,-674762.125,99552.3203125
0.0108300000429153,566410.375,-674411.25,99025.09375
0.0108310002833605,566554.9375,-674055.1875,98486.7890625
0.010831999592483,566700.25,-673694.9375,97938.7265625
0.0108329998329282,566845.625,-673331.3125,97382.140625
0.0108340000733733,566990.375,-672964.625,96818.1328125
0.0108350003138185,567133.4375,-672594.8125,96247.7109375
0.010835999622941,567273.75,-672221.8125,95671.8203125
0.0108369998633862,567410.3125,-671845.4375,95091.390625
0.0108380001038313,567542.1875,-671465.6875,94507.421875
0.0108390003442764,567668.6875,-671082.8125,93920.96875
0.010839999653399,567789.3125,-670697.375,93333.171875
0.0108409998938441,567903.875,-670310.25,92745.2109375
0.0108420001342893,568012.1875,-669922.375,92158.265625
0.0108430003747344,568114.375,-669534.75,91573.4921875
0.010843999683857,568210.5625,-669148.375,90991.90625
0.0108449999243021,568300.875,-668764.0625,90414.4375
0.0108460001647472,568385.375,-668382.4375,89841.8359375
0.0108470004051924,568464.0625,-668003.875,89274.71875
0.0108479997143149,568537.0625,-667628.5,88713.546875
0.0108489999547601,568604.1875,-667256.375,88158.6640625
0.0108500001952052,568665.3125,-666887.3125,87610.3203125
0.0108510004356503,568720.5,-666521.125,87068.6640625
0.0108519997447729,568769.6875,-666157.5,86533.796875
0.010852999985218,568812.875,-665796.375,86005.765625
0.0108540002256632,568850.25,-665437.5,85484.578125
0.0108549995347857,568882.1875,-665080.875,84970.203125
0.0108559997752309,568908.9375,-664726.5625,84462.59375
0.010857000015676,568931.125,-664374.75,83961.6484375
0.0108580002561212,568949.1875,-664025.5625,83467.2734375
